model,batch,seq,gamma,mode,mean_ms,median_ms,std_ms,min_ms,max_ms,n_samples
Llama-3.1-8B-Instruct,1,4096,3,target_verify,11.954159574468084,12.751,1.2609524267505734,9.945,12.889,188
Llama-3.1-8B-Instruct,2,256,3,target_verify,10.043164772727273,10.0015,0.0841624355157813,9.938,10.236,176
Llama-3.1-8B-Instruct,2,512,3,target_verify,10.282096590909092,10.1815,0.1737126915003959,10.087,10.603,176
Llama-3.1-8B-Instruct,2,1024,3,target_verify,10.774732954545454,10.5545,0.3467492832322483,10.486,11.342,176
Llama-3.1-8B-Instruct,2,2048,3,target_verify,11.769698863636364,11.307,0.7115812614563737,11.229,12.898,176
Llama-3.1-8B-Instruct,2,4096,3,target_verify,12.034897727272726,12.81,1.1776639689513446,10.236,12.903,176
Llama-3.1-8B-Instruct,4,256,3,target_verify,10.360380681818182,10.287,0.12943074252429215,10.221,10.594,176
Llama-3.1-8B-Instruct,4,512,3,target_verify,10.724255681818182,10.562999999999999,0.2604229471381197,10.484,11.157,176
Llama-3.1-8B-Instruct,4,1024,3,target_verify,11.462977272727272,11.117,0.531172072787238,11.043,12.289,176
Llama-3.1-8B-Instruct,4,2048,3,target_verify,12.957681818181818,12.265,1.051723049318371,12.176,14.555,176
Llama-3.1-8B-Instruct,4,4096,3,target_verify,13.831948863636363,14.495,1.00624703169684,12.297,14.554,176
Llama-3.1-8B-Instruct,8,256,3,target_verify,12.395085227272727,12.3445,0.08891298223032955,12.296,12.575,176
Llama-3.1-8B-Instruct,8,512,3,target_verify,12.640221590909091,12.528,0.1788739118238566,12.483,12.947,176
Llama-3.1-8B-Instruct,8,1024,3,target_verify,13.148403409090909,12.913499999999999,0.3628433456383429,12.861,13.726,176
Llama-3.1-8B-Instruct,8,2048,3,target_verify,14.146593023255814,13.692,0.7227304849452312,13.635,15.337,172
Llama-3.1-8B-Instruct,8,4096,3,target_verify,14.936030487804878,15.26,0.47450744786904675,14.22,15.348,164
Llama-3.1-8B-Instruct,16,256,3,target_verify,14.33046590909091,14.289,0.09207480795386036,14.214,14.516,176
Llama-3.1-8B-Instruct,16,512,3,target_verify,14.578460227272727,14.4725,0.18253180891623733,14.392,14.908,176
Llama-3.1-8B-Instruct,16,1024,3,target_verify,15.097582352941176,14.882,0.35498321776365593,14.783,15.7,170
Llama-3.1-8B-Instruct,16,2048,3,target_verify,16.122045454545454,15.675,0.7174785309434875,15.59,17.391,154
Llama-3.1-8B-Instruct,16,4096,3,target_verify,16.72755263157895,17.21,0.6746885255309261,15.79,17.369,152
Llama-3.1-8B-Instruct,24,256,3,target_verify,15.885994318181819,15.843,0.0918883482219647,15.775,16.066,176
Llama-3.1-8B-Instruct,24,512,3,target_verify,16.129093023255813,16.0275,0.18157982008513912,15.965,16.467,172
Llama-3.1-8B-Instruct,24,1024,3,target_verify,16.633653846153845,16.414,0.3560514760508864,16.365,17.23,156
Llama-3.1-8B-Instruct,24,2048,3,target_verify,17.644585714285714,17.198500000000003,0.7218204701734057,17.155,18.82,140
Llama-3.1-8B-Instruct,24,4096,3,target_verify,17.822907142857144,18.762500000000003,1.1981567311777694,16.267,18.874,140
Llama-3.1-8B-Instruct,32,256,3,target_verify,16.393568181818182,16.352,0.0908818127905903,16.278,16.58,176
Llama-3.1-8B-Instruct,32,512,3,target_verify,16.642662790697674,16.544,0.18205674267859334,16.466,16.977,172
Llama-3.1-8B-Instruct,32,1024,3,target_verify,17.146942307692306,16.930500000000002,0.3600041619900026,16.846,17.869,156
Llama-3.1-8B-Instruct,32,2048,3,target_verify,18.11621323529412,17.7185,0.6902279753078715,17.669,19.344,136
Llama-3.1-8B-Instruct,32,4096,3,target_verify,20.1925703125,19.33,1.0428997708433434,19.254,21.457,128
Llama-3.1-8B-Instruct,48,256,3,target_verify,21.448203488372094,21.4045,0.09226151104609455,21.343,21.655,172
Llama-3.1-8B-Instruct,48,512,3,target_verify,21.693403846153846,21.59,0.18245178873038795,21.53,22.028,156
Llama-3.1-8B-Instruct,48,1024,3,target_verify,22.2016,21.979,0.36365852430839324,21.927,22.865,140
Llama-3.1-8B-Instruct,48,2048,3,target_verify,23.179675,22.7775,0.7129977920516923,22.724,24.501,120
Llama-3.1-8B-Instruct,48,4096,3,target_verify,23.47171551724138,24.366999999999997,0.9825714958478967,22.36,24.511,116
Llama-3.1-8B-Instruct,64,256,3,target_verify,22.525256097560977,22.447000000000003,0.1458825740885948,22.364,22.813,164
Llama-3.1-8B-Instruct,64,512,3,target_verify,22.908134615384615,22.7485,0.27567770070321695,22.687,23.385,156
Llama-3.1-8B-Instruct,64,1024,3,target_verify,23.648036764705882,23.349,0.535016377846763,23.27,24.615,136
Llama-3.1-8B-Instruct,64,2048,3,target_verify,25.135201923076924,24.568,1.0358415309678501,24.501,27.019,104
Llama-3.1-8B-Instruct,64,4096,3,target_verify,26.972816666666667,26.962,0.035327279355573046,26.926,27.068,60
Llama-3.1-8B-Instruct,0,0,7,drafter_decode,4.707375,4.705,0.014184839703689058,4.688,4.773,32
Llama-3.1-8B-Instruct,1,256,7,drafter_decode,4.70334375,4.702,0.03167339167436103,4.662,5.001,128
Llama-3.1-8B-Instruct,1,512,7,drafter_decode,4.706125,4.69,0.03274886546090382,4.669,4.886,128
Llama-3.1-8B-Instruct,1,1024,7,drafter_decode,4.80525,4.7485,0.0904497076075938,4.734,4.988,128
Llama-3.1-8B-Instruct,1,2048,7,drafter_decode,5.0036640625,4.945,0.09356014338707608,4.927,5.189,128
Llama-3.1-8B-Instruct,1,4096,7,drafter_decode,5.0561612903225805,5.140499999999999,0.15240651604066957,4.65,5.201,124
Llama-3.1-8B-Instruct,2,256,7,drafter_decode,4.842982142857143,4.8975,0.11081215191296943,4.655,4.956,112
Llama-3.1-8B-Instruct,2,512,7,drafter_decode,4.8949107142857144,4.928,0.1318449508147394,4.674,5.084,112
Llama-3.1-8B-Instruct,2,1024,7,drafter_decode,5.027875,5.062,0.15941029418419592,4.739,5.36,112
Llama-3.1-8B-Instruct,2,2048,7,drafter_decode,5.198214285714286,5.205,0.15809088665298973,4.93,5.474,112
Llama-3.1-8B-Instruct,2,4096,7,drafter_decode,5.205223214285715,5.2025,0.24456306726620922,4.656,5.493,112
Llama-3.1-8B-Instruct,4,256,7,drafter_decode,4.9082678571428575,4.919,0.10825370452374619,4.647,5.034,112
Llama-3.1-8B-Instruct,4,512,7,drafter_decode,5.012392857142857,5.0235,0.14223127702701743,4.678,5.224,112
Llama-3.1-8B-Instruct,4,1024,7,drafter_decode,5.1586428571428575,5.171,0.1734654654283316,4.729,5.371,112
Llama-3.1-8B-Instruct,4,2048,7,drafter_decode,5.416803571428572,5.367,0.2615780537150015,4.922,5.835,112
Llama-3.1-8B-Instruct,4,4096,7,drafter_decode,5.4898839285714285,5.6065000000000005,0.3815431385652599,4.699,5.876,112
Llama-3.1-8B-Instruct,8,256,7,drafter_decode,5.012107142857142,5.026,0.15382570909099935,4.659,5.193,112
Llama-3.1-8B-Instruct,8,512,7,drafter_decode,5.147625,5.172,0.19547360481707035,4.676,5.348,112
Llama-3.1-8B-Instruct,8,1024,7,drafter_decode,5.378410714285715,5.334,0.30499949944048216,4.73,5.792,112
Llama-3.1-8B-Instruct,8,2048,7,drafter_decode,5.885294642857143,5.786,0.4800914822431177,4.95,6.571,112
Llama-3.1-8B-Instruct,8,4096,7,drafter_decode,6.0844375,6.532,0.5908387499910538,4.664,6.568,112
